hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,138.5639,139.0629,,,,,,,,,,0,f,w68.png,,,,,,139.0634,140.8,j,0,1.6854,,0,9,9,57,1,filler_假詞,,,變縱,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,140.8004,141.2979,,,,,,,,,būn-tê/būn-tuê,1,j,w3.png,,,,,,141.2986,142.0669,j,1,0.717,,0,10,10,2,1,實驗材料,懸,懸,問題,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,142.0672,142.566,,,,,,,,,,0,f,w85.png,,,,,,142.5666,143.869,f,1,1.2509,,0,11,11,74,1,filler_假詞,,,素鼠,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,143.8692,144.3677,,,,,,,,,,0,f,w82.png,,,,,,144.3683,146.9376,j,0,2.5181,,0,12,12,71,1,filler_假詞,,,食轉,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,146.9379,147.4375,,,,,,,,,,0,f,w64.png,,,,,,147.4379,148.8564,f,1,1.3835,,0,13,13,53,1,filler_假詞,,,莖白,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,148.8567,149.3552,,,,,,,,,,0,f,w52.png,,,,,,149.3557,151.1081,f,1,1.7007,,0,14,14,41,1,filler_假詞,,,頭舌,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,151.1083,151.6079,,,,,,,,,,0,f,w57.png,,,,,,151.6084,153.411,f,1,1.767,,0,15,15,46,1,filler_假詞,,,老失,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,153.4112,153.9097,,,,,,,,,kíng-tsìng,1,j,w16.png,,,,,,153.9103,155.0458,j,1,1.084,,0,16,16,13,1,實驗材料,低,低,警政,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,155.046,155.5444,,,,,,,,,,0,f,w65.png,,,,,,155.545,156.7465,f,1,1.15,,0,17,17,54,1,filler_假詞,,,分然,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,156.7468,157.2457,,,,,,,,,,0,f,w69.png,,,,,,157.2463,159.0977,j,0,1.8006,,0,18,18,58,1,filler_假詞,,,把氣,,
